CHFId,EmergencyTypeId,EmergencyPercent
26496,18,100
26555,18,100
26563,18,100
26607,18,100
26617,18,100
26633,18,100
26645,18,100
26650,18,100
26668,18,100
26669,18,100
26679,18,100
26682,18,100
26501,18,100
26512,18,100
26529,18,100
26606,18,100
26660,18,100
26661,18,100
26671,18,100
26684,18,100
33280,18,100
33285,18,100
33307,18,100
33336,18,100
33359,18,100
33366,18,100
33326,18,100
33342,18,100
33395,18,100
24541,1,100
24570,1,100
24575,1,100
24576,1,100
24590,1,100
24594,1,100
24605,1,100
24610,1,100
24619,1,100
24621,1,100
25252,1,100
25253,1,100
25257,1,100
25258,1,100
25299,1,100
25300,1,100
25301,1,100
25306,1,100
25369,1,100
25374,1,100
26930,16,100
24532,1,100
24536,1,100
24543,1,100
24544,1,100
24547,1,100
24550,1,100
24551,1,100
24554,1,100
24555,1,100
24559,1,100
24562,1,100
24563,1,100
24569,1,100
24573,1,100
24574,1,100
24578,1,100
24580,1,100
24581,1,100
24585,1,100
24586,1,100
24588,1,100
24589,1,100
24595,1,100
24597,1,100
24599,1,100
24600,1,100
24607,1,100
24608,1,100
24609,1,100
24612,1,100
24613,1,100
24616,1,100
24617,1,100
24618,1,100
24620,1,100
24622,1,100
24626,1,100
24643,1,100
24644,1,100
24648,1,100
24659,1,100
25242,1,100
25243,1,100
25247,1,100
25248,1,100
25250,1,100
25266,1,100
25267,1,100
25273,1,100
25275,1,100
25277,1,100
25280,1,100
25281,1,100
25284,1,100
25285,1,100
25289,1,100
25290,1,100
25292,1,100
25294,1,100
25302,1,100
25303,1,100
25321,1,100
25325,1,100
25329,1,100
25330,1,100
25332,1,100
25333,1,100
25348,1,100
25352,1,100
25368,1,100
25370,1,100
25378,1,100
26926,16,100
26927,16,100
26928,16,100
26929,16,100
24557,1,100
24542,1,100
24623,1,100
24624,1,100
24642,1,100
24767,1,100
25244,1,100
25245,1,100
25251,1,100
25261,1,100
25263,1,100
25297,1,100
25298,1,100
25316,1,100
25340,1,100
25364,1,100
26704,16,100
26749,16,100
26757,16,100
26765,16,100
26772,16,50
26772,17,50
26807,16,100
26819,16,35
26819,17,65
26829,17,100
26844,16,100
26895,16,100
26903,16,50
26903,17,50
26706,16,100
26708,16,100
26717,16,100
26720,16,100
26722,16,100
26734,16,100
26737,16,100
26738,16,100
26753,16,100
26759,16,100
26760,16,100
26761,16,100
26762,16,100
26764,16,100
26768,16,100
26769,16,100
26773,16,100
26774,16,100
26776,16,75
26776,17,25
26777,16,100
26780,16,100
26787,16,50
26787,17,50
26788,17,50
26788,16,50
26789,16,100
26790,16,1
26790,17,99
26798,17,80
26798,16,20
26818,16,100
26820,16,100
26822,16,100
26824,16,100
26830,16,100
26840,16,100
26781,16,70
26781,17,30
26783,16,100
33028,16,100
33032,16,100
33109,16,100
33113,17,100
33163,16,100
33230,16,50
33230,17,50
33250,17,100
33284,16,100
